tick,sol,sensor.temperature,sensor.wind_speed,sensor.solar_irradiance,sensor.day_phase,sensor.dust,energy.generated,energy.solar_gen,energy.wind_gen,energy.nuclear_gen,energy.consumed,energy.delta,energy.battery,energy.predicted_delta,energy.slope,energy.level,event.active,energy.alert
1,0,-29.966846961346075,8.116176578485112,202.67966332148455,0.0170370868554659,0.10501517754532516,41.22,0.15,1.07,40.0,46.0,-4.78,64.52,0.0,0.0,NOMINAL,,Operação nominal
1,0,-29.97246692841783,8.169375391488167,214.74197000971404,0.0170370868554659,0.11337475563141225,41.25,0.16,1.09,40.0,46.0,-4.75,64.53,0.0,0.0,NOMINAL,,Operação nominal
2,0,-29.82277787221353,8.647711256170583,234.21503509261748,0.06698729810778065,0.11886445095652676,41.98,0.69,1.29,40.0,46.0,-4.02,64.12,-4.75,0.0,NOMINAL,,Operação nominal
3,0,-30.18814671772594,8.892626387329901,221.50525727938526,0.14644660940672627,0.12559645034304362,42.83,1.43,1.41,40.0,46.0,-3.17,63.81,-3.29,0.73,NOMINAL,,Operação nominal
4,0,-29.703633610379985,9.386729055478686,206.70989248201545,0.2499999999999999,0.1304275062203919,43.93,2.27,1.65,40.0,46.0,-2.07,63.6,-2.4,0.79,NOMINAL,,Operação nominal
5,0,-29.472410514271008,8.655851448993934,204.41954835868535,0.3705904774487397,0.1314245897382833,44.63,3.33,1.3,40.0,46.0,-1.37,63.46,-1.28,0.889,NOMINAL,,Operação nominal
6,0,-29.369817553712497,8.126136877308113,189.30430947757674,0.5,0.12725019891255276,45.24,4.16,1.07,40.0,46.0,-0.76,63.39,-0.46,0.871,NOMINAL,,Operação nominal
7,0,-29.57405041520394,8.186052267957637,173.48813485310342,0.6294095225512605,0.11043591575255265,45.9,4.8,1.1,40.0,46.0,-0.1,63.38,0.21,0.8286,HIGH,Sandstorm,Operação nominal
8,0,-29.677225940859028,22.449781475595977,31.730546545155313,0.75,0.5116440030787515,23.68,1.05,22.63,0.0,43.0,-19.32,61.44,0.86,0.7954,HIGH,Sandstorm,Operação nominal
9,0,-29.594734440028,21.5002886462138,32.536694441613875,0.8535533905932737,0.5262271511936606,21.1,1.22,19.88,0.0,43.0,-21.9,59.25,-8.43,-0.8864,LOW,Sandstorm,ALERTA: reduzir consumo — tendência negativa detectada
10,0,-29.246891947190505,22.326268335605704,35.50905164038734,0.9330127018922194,0.5317910597261954,23.72,1.46,22.26,0.0,38.0,-14.28,57.83,-15.31,-1.7842,LOW,Sandstorm,ALERTA: reduzir consumo — tendência negativa detectada
11,0,-28.8827599228522,23.055880074203376,33.56531609780888,0.9829629131445341,0.5449608435404569,25.96,1.45,24.51,0.0,38.0,-12.04,56.62,-16.68,-1.7282,LOW,Sandstorm,ALERTA: reduzir consumo — tendência negativa detectada
12,0,-28.73213942401824,23.601412043295568,37.51725763364603,1.0,0.5568594718727387,27.94,1.65,26.29,0.0,38.0,-10.06,55.62,-16.72,-1.5174,LOW,Sandstorm,ALERTA: reduzir consumo — tendência negativa detectada
13,0,-28.418877560418252,23.628056775597756,37.39559344078691,0.9829629131445341,0.5747340062774341,28.0,1.62,26.38,0.0,38.0,-10.0,54.62,-16.02,-1.2612,LOW,Sandstorm,ALERTA: reduzir consumo — tendência negativa detectada
14,0,-28.727875541289336,23.04662037596576,37.572703094345,0.9330127018922192,0.5551287722085335,26.02,1.54,24.48,0.0,38.0,-11.98,53.42,-15.43,-1.0628,LOW,Sandstorm,ALERTA: reduzir consumo — tendência negativa detectada
